,transaction_id,cust_id,tran_date,prod_subcat_code,prod_cat_code,Qty,Rate,Tax,total_amt,Store_type
1065,58387181112,275068,31-12-2018,8,3,5,792,415.8,4375.8,e-Shop
1066,21300411973,274568,31-12-2018,2,6,1,1054,110.67,1164.67,Flagship store
1067,25511948871,273541,31-12-2018,3,1,-3,-253,79.695,-838.695,MBR
1068,45524941068,268722,31-12-2018,10,5,5,124,65.1,685.1,Flagship store
1069,26100869804,273836,31-12-2018,9,3,3,843,265.545,2794.545,e-Shop
1070,48660589294,274767,31-12-2018,12,5,1,762,80.01,842.01,MBR
1071,44724557035,274734,31-12-2018,3,1,5,1005,527.625,5552.625,TeleShop
1072,4116412179,269788,31-12-2018,10,3,3,984,309.96,3261.96,e-Shop
1073,56380733343,273570,31-12-2018,1,1,2,1319,276.99,2914.99,MBR
1074,55120134998,274052,31-12-2018,10,5,3,143,45.045,474.045,Flagship store
1075,51849180620,273963,31-12-2018,9,3,3,617,194.355,2045.355,e-Shop
1076,9920817353,275033,31-12-2018,3,2,3,271,85.365,898.365,TeleShop
1077,73514951834,269518,31-12-2018,6,5,2,582,122.22,1286.22,e-Shop
1078,87937803238,275194,31-12-2018,8,3,5,752,394.8,4154.8,TeleShop
1079,79443912873,267426,31-12-2018,1,4,1,193,20.265,213.265,MBR
1080,74047317255,267888,31-12-2018,2,6,4,861,361.62,3805.62,TeleShop
1081,65594255012,273857,31-12-2018,1,4,1,405,42.525,447.525,TeleShop
1082,89405298920,269866,31-12-2018,4,2,5,1340,703.5,7403.5,e-Shop
1083,83963970126,274655,31-12-2018,3,1,5,213,111.825,1176.825,e-Shop
1084,53022798988,268710,30-12-2018,4,2,5,900,472.5,4972.5,Flagship store
1085,34058748311,272742,30-12-2018,4,2,2,998,209.58,2205.58,e-Shop
1086,6795139624,273397,30-12-2018,1,1,3,565,177.975,1872.975,TeleShop
1087,12334452791,269003,30-12-2018,4,3,1,920,96.6,1016.6,e-Shop
1088,14543452790,273652,30-12-2018,7,5,-1,-482,50.61,-532.61,MBR
