,transaction_id,cust_id,tran_date,prod_subcat_code,prod_cat_code,Qty,Rate,Tax,total_amt,Store_type
16062,40303022895,272142,31-12-2016,1,2,5,537,281.925,2966.925,Flagship store
16063,47557596721,273764,31-12-2016,8,3,-1,-1037,108.885,-1145.885,Flagship store
16064,28966519600,273899,31-12-2016,5,3,1,308,32.34,340.34,e-Shop
16065,18110335043,270491,31-12-2016,4,2,1,1343,141.015,1484.015,TeleShop
16066,35866122984,269792,31-12-2016,1,2,1,1209,126.945,1335.945,Flagship store
16067,47630316689,269669,31-12-2016,4,3,5,1410,740.25,7790.25,e-Shop
16068,17022448373,270731,31-12-2016,11,5,2,95,19.95,209.95,Flagship store
16069,44558941015,272510,31-12-2016,1,4,3,261,82.215,865.215,e-Shop
16070,66203413364,268656,31-12-2016,2,6,2,1283,269.43,2835.43,TeleShop
16071,78068375988,271775,31-12-2016,5,3,5,1178,618.45,6508.45,TeleShop
16072,81271675345,274655,31-12-2016,4,2,1,1265,132.825,1397.825,MBR
16073,86382871317,272847,31-12-2016,8,3,5,1217,638.925,6723.925,e-Shop
16074,69104524563,274708,31-12-2016,11,6,4,639,268.38,2824.38,e-Shop
16075,64375545298,272192,31-12-2016,6,5,3,1222,384.93,4050.93,TeleShop
16076,96664326847,270760,31-12-2016,4,2,3,1357,427.455,4498.455,e-Shop
16077,38055189661,274410,30-12-2016,10,6,-3,-1047,329.805,-3470.805,e-Shop
16078,35086417483,271543,30-12-2016,3,1,-4,-1335,560.7,-5900.7,MBR
16079,50301386910,268815,30-12-2016,11,6,5,181,95.025,1000.025,e-Shop
16080,34261615891,271360,30-12-2016,11,5,1,203,21.315,224.315,TeleShop
16081,21728840100,272231,30-12-2016,12,5,3,1416,446.04,4694.04,e-Shop
16082,18218366251,272030,30-12-2016,2,6,2,1229,258.09,2716.09,Flagship store
16083,31148767363,270582,30-12-2016,3,1,2,1202,252.42,2656.42,Flagship store
16084,31229068464,272799,30-12-2016,4,4,4,939,394.38,4150.38,MBR
16085,30335505693,272409,30-12-2016,3,2,1,205,21.525,226.525,e-Shop
16086,36223686505,274209,30-12-2016,5,3,4,486,204.12,2148.12,TeleShop
16087,11259937163,270707,30-12-2016,4,2,4,1291,542.22,5706.22,Flagship store
16088,35487639991,274483,30-12-2016,6,5,3,116,36.54,384.54,MBR
16089,61827274578,271458,30-12-2016,2,6,5,1206,633.15,6663.15,e-Shop
16090,58308582161,267759,30-12-2016,11,6,5,1080,567.0,5967.0,MBR
16091,38115390742,267151,30-12-2016,3,1,3,1026,323.19,3401.19,e-Shop
16092,26382478485,271461,30-12-2016,11,6,5,1469,771.225,8116.225,Flagship store
16093,91987866729,272116,30-12-2016,9,3,1,1283,134.715,1417.715,MBR
16094,99010023872,275089,30-12-2016,8,3,1,906,95.13,1001.13,e-Shop
16095,70542250649,274371,30-12-2016,1,2,4,1292,542.64,5710.64,MBR
16096,72249995914,273115,30-12-2016,9,3,5,1044,548.1,5768.1,MBR
16097,66255399720,268160,30-12-2016,11,5,1,762,80.01,842.01,e-Shop
16098,73084652048,270252,30-12-2016,3,2,3,779,245.385,2582.385,MBR
16099,90889729031,270189,30-12-2016,6,5,5,418,219.45,2309.45,MBR
16100,48121643403,274703,29-12-2016,3,5,4,651,273.42,2877.42,e-Shop
16101,9961169566,267307,29-12-2016,4,3,3,971,305.865,3218.865,MBR
16102,4019224694,274525,29-12-2016,4,2,1,718,75.39,793.39,Flagship store
