,transaction_id,cust_id,tran_date,prod_subcat_code,prod_cat_code,Qty,Rate,Tax,total_amt,Store_type
8521,26229626485,267624,31-12-2017,1,1,5,1096,575.4,6055.4,Flagship store
8522,7576355995,268250,31-12-2017,4,1,5,1409,739.725,7784.725,Flagship store
8523,31314199553,274511,31-12-2017,4,4,3,398,125.37,1319.37,e-Shop
8524,3931451020,270386,31-12-2017,11,6,3,243,76.545,805.545,e-Shop
8525,24878731193,272358,31-12-2017,9,3,4,808,339.36,3571.36,MBR
8526,43872989929,267990,31-12-2017,1,4,4,446,187.32,1971.32,e-Shop
8527,1336321430,271019,31-12-2017,3,5,2,329,69.09,727.09,TeleShop
8528,53411596932,269993,31-12-2017,8,3,1,894,93.87,987.87,Flagship store
8529,23309903578,267164,31-12-2017,8,3,-2,-1057,221.97,-2335.97,e-Shop
8530,19409269608,272403,31-12-2017,4,1,4,135,56.7,596.7,e-Shop
8531,59942758652,274549,31-12-2017,4,3,1,107,11.235,118.235,e-Shop
8532,23668636692,268397,31-12-2017,10,6,3,1002,315.63,3321.63,TeleShop
8533,94444978213,268658,31-12-2017,3,1,2,1357,284.97,2998.97,e-Shop
8534,86339422638,268447,31-12-2017,1,4,1,238,24.99,262.99,Flagship store
8535,74587942310,271137,31-12-2017,12,6,4,103,43.26,455.26,e-Shop
8536,85277089271,273684,31-12-2017,11,6,2,1009,211.89,2229.89,e-Shop
8537,68643454359,269607,31-12-2017,4,1,4,1280,537.6,5657.6,e-Shop
8538,96411404312,270906,31-12-2017,9,3,5,1135,595.875,6270.875,e-Shop
8539,78626229855,272312,31-12-2017,12,6,1,767,80.535,847.535,TeleShop
8540,75149369365,270519,31-12-2017,2,6,2,1393,292.53,3078.53,MBR
8541,13878864427,269517,30-12-2017,8,3,5,804,422.1,4442.1,MBR
8542,2209430857,269819,30-12-2017,4,3,4,808,339.36,3571.36,TeleShop
8543,49874273831,275056,30-12-2017,3,2,1,1461,153.405,1614.405,MBR
8544,30537356214,271855,30-12-2017,1,4,3,1432,451.08,4747.08,e-Shop
8545,1836812350,273927,30-12-2017,12,6,2,827,173.67,1827.67,Flagship store
8546,908931839,272870,30-12-2017,3,2,2,1248,262.08,2758.08,Flagship store
8547,36801262185,268490,30-12-2017,4,1,3,230,72.45,762.45,e-Shop
8548,32068923282,269178,30-12-2017,4,2,1,1474,154.77,1628.77,TeleShop
8549,50515429094,267239,30-12-2017,4,2,3,115,36.225,381.225,Flagship store
8550,37533052827,272926,30-12-2017,7,5,3,927,292.005,3073.005,e-Shop
8551,60898756368,273119,30-12-2017,4,3,3,826,260.19,2738.19,e-Shop
8552,47347734184,268922,30-12-2017,6,5,5,1306,685.65,7215.65,e-Shop
8553,8492021484,271293,30-12-2017,8,3,2,894,187.74,1975.74,MBR
8554,39632529468,271179,30-12-2017,12,5,1,571,59.955,630.955,e-Shop
8555,31830490907,269773,30-12-2017,10,3,5,1224,642.6,6762.6,Flagship store
8556,6554811950,270768,30-12-2017,8,3,1,177,18.585,195.585,Flagship store
8557,32416468738,272756,30-12-2017,3,2,5,725,380.625,4005.625,e-Shop
8558,78306233415,270978,30-12-2017,4,3,2,728,152.88,1608.88,e-Shop
8559,69769124179,270147,30-12-2017,10,3,3,921,290.115,3053.115,Flagship store
8560,99663007223,270822,30-12-2017,3,2,1,1459,153.195,1612.195,e-Shop
8561,69815854706,273081,30-12-2017,11,6,4,918,385.56,4057.56,MBR
8562,99320490905,271891,30-12-2017,10,6,5,688,361.2,3801.2,TeleShop
8563,76903742886,270206,30-12-2017,3,2,4,652,273.84,2881.84,TeleShop
8564,79449691441,273586,30-12-2017,11,5,2,472,99.12,1043.12,e-Shop
8565,73693567009,272562,30-12-2017,1,4,5,465,244.125,2569.125,MBR
8566,94807626834,267076,30-12-2017,2,6,3,524,165.06,1737.06,Flagship store
8567,52733350712,270954,29-12-2017,10,6,1,1396,146.58,1542.58,MBR
8568,45469296694,274279,29-12-2017,1,4,4,881,370.02,3894.02,Flagship store
8569,21059463492,269420,29-12-2017,11,5,1,669,70.245,739.245,Flagship store
8570,2906545289,275250,29-12-2017,10,3,1,86,9.03,95.03,e-Shop
8571,47930506683,274523,29-12-2017,5,3,5,427,224.175,2359.175,e-Shop
8572,44628993021,266875,29-12-2017,3,1,3,1243,391.545,4120.545,TeleShop
8573,28755405097,273351,29-12-2017,3,1,5,838,439.95,4629.95,Flagship store
8574,4103354860,269033,29-12-2017,8,3,5,959,503.475,5298.475,MBR
8575,59788586793,272525,29-12-2017,9,3,5,86,45.15,475.15,e-Shop
8576,50246581289,274138,29-12-2017,10,5,3,1111,349.965,3682.965,Flagship store
8577,65756901197,274589,29-12-2017,12,6,4,753,316.26,3328.26,MBR
8578,65806735767,274747,29-12-2017,1,4,3,1221,384.615,4047.615,MBR
8579,81379725793,273968,29-12-2017,4,3,2,1063,223.23,2349.23,MBR
8580,88717415059,267257,29-12-2017,11,6,3,256,80.64,848.64,TeleShop
