,customer_Id,DOB,Gender,country_code
0,268408,02-01-1970,M,4.0
1,269696,07-01-1970,F,8.0
2,268159,08-01-1970,F,8.0
3,270181,10-01-1970,F,2.0
4,268073,11-01-1970,M,1.0
5,273216,15-01-1970,F,5.0
6,266929,15-01-1970,M,8.0
7,275152,16-01-1970,M,4.0
8,275034,18-01-1970,F,4.0
9,273966,21-01-1970,M,8.0
10,270829,22-01-1970,F,8.0
11,266997,23-01-1970,M,9.0
12,272455,25-01-1970,M,7.0
13,274593,26-01-1970,M,10.0
14,273391,29-01-1970,F,2.0
15,267657,29-01-1970,F,7.0
16,271344,29-01-1970,F,5.0
17,268275,01-02-1970,F,7.0
18,274630,01-02-1970,M,4.0
19,273541,01-02-1970,M,4.0
20,270324,01-02-1970,F,1.0
21,273613,06-02-1970,M,1.0
22,271608,09-02-1970,F,4.0
23,269008,13-02-1970,F,6.0
24,267199,14-02-1970,,2.0
25,267916,17-02-1970,F,8.0
26,267609,18-02-1970,M,2.0
27,270602,18-02-1970,M,5.0
28,272883,19-02-1970,M,5.0
29,272359,19-02-1970,M,4.0
30,272603,19-02-1970,F,9.0
31,272028,20-02-1970,F,1.0
32,274717,21-02-1970,M,7.0
33,273316,21-02-1970,M,2.0
34,271262,21-02-1970,M,2.0
35,267166,22-02-1970,F,4.0
36,270827,04-03-1970,F,10.0
37,273423,04-03-1970,F,4.0
38,271692,07-03-1970,M,5.0
39,274592,08-03-1970,M,5.0
40,271777,08-03-1970,M,8.0
41,266895,12-03-1970,M,4.0
42,274360,14-03-1970,M,5.0
43,274602,15-03-1970,F,3.0
44,266799,16-03-1970,F,5.0
45,272821,17-03-1970,F,3.0
46,267379,21-03-1970,F,2.0
47,273016,22-03-1970,M,3.0
48,273106,23-03-1970,F,2.0
49,271935,26-03-1970,M,5.0
50,273109,27-03-1970,F,5.0
51,270986,27-03-1970,M,10.0
52,266969,28-03-1970,M,2.0
53,273871,29-03-1970,M,7.0
54,273811,29-03-1970,M,8.0
55,271312,01-04-1970,F,5.0
56,274834,02-04-1970,M,4.0
57,271991,02-04-1970,M,5.0
58,269765,04-04-1970,F,9.0
59,272071,06-04-1970,F,6.0
60,272645,14-04-1970,F,2.0
61,270780,18-04-1970,F,3.0
62,272736,19-04-1970,F,1.0
63,272627,19-04-1970,F,3.0
64,272795,22-04-1970,M,1.0
65,270450,24-04-1970,F,3.0
66,266862,24-04-1970,F,5.0
67,274535,26-04-1970,F,4.0
68,269640,29-04-1970,M,7.0
69,268290,29-04-1970,M,7.0
70,275250,02-05-1970,F,1.0
71,272555,03-05-1970,M,1.0
72,268732,06-05-1970,M,2.0
73,271478,06-05-1970,F,1.0
74,267529,09-05-1970,M,4.0
75,271066,10-05-1970,M,8.0
76,267819,10-05-1970,F,9.0
77,269271,12-05-1970,F,5.0
78,273150,14-05-1970,F,10.0
79,267386,15-05-1970,M,7.0
80,274350,16-05-1970,F,3.0
81,273645,22-05-1970,F,4.0
82,270911,22-05-1970,M,2.0
83,268424,23-05-1970,F,8.0
84,271045,23-05-1970,F,7.0
85,268627,01-06-1970,M,9.0
86,270430,01-06-1970,M,7.0
87,271626,02-06-1970,,6.0
88,272301,03-06-1970,F,8.0
89,269531,05-06-1970,M,2.0
90,274849,09-06-1970,M,4.0
91,271031,09-06-1970,F,2.0
92,272018,09-06-1970,F,6.0
93,272186,09-06-1970,M,10.0
94,270047,10-06-1970,M,1.0
95,274128,10-06-1970,M,10.0
96,268313,11-06-1970,F,8.0
97,270933,15-06-1970,M,8.0
98,271072,16-06-1970,M,6.0
99,271465,17-06-1970,F,9.0
100,274770,17-06-1970,F,2.0
101,270676,19-06-1970,M,5.0
102,273529,19-06-1970,F,1.0
103,273162,19-06-1970,M,8.0
104,268533,23-06-1970,F,6.0
105,275246,25-06-1970,M,3.0
106,267066,25-06-1970,F,10.0
107,269345,26-06-1970,F,10.0
108,275116,29-06-1970,M,5.0
109,273840,01-07-1970,M,3.0
110,268792,04-07-1970,M,4.0
111,274892,05-07-1970,F,8.0
112,273708,09-07-1970,F,7.0
113,272495,10-07-1970,M,8.0
114,272926,11-07-1970,F,4.0
115,268447,14-07-1970,M,
116,273442,16-07-1970,M,4.0
117,267081,17-07-1970,F,3.0
118,267042,23-07-1970,M,8.0
119,273151,24-07-1970,F,4.0
120,274169,24-07-1970,F,1.0
121,270130,26-07-1970,M,9.0
122,274546,26-07-1970,M,3.0
123,273575,27-07-1970,M,1.0
124,267280,02-08-1970,M,5.0
125,267304,03-08-1970,M,4.0
126,274445,06-08-1970,M,8.0
127,270678,06-08-1970,F,4.0
128,270328,07-08-1970,F,4.0
129,269449,09-08-1970,M,6.0
130,275014,12-08-1970,M,4.0
131,269825,21-08-1970,M,4.0
132,271750,23-08-1970,F,6.0
133,267826,24-08-1970,F,7.0
134,272501,26-08-1970,F,1.0
135,273587,29-08-1970,F,1.0
136,272721,01-09-1970,M,8.0
137,275134,02-09-1970,F,8.0
138,267713,03-09-1970,M,1.0
139,274029,03-09-1970,F,1.0
140,272261,03-09-1970,F,9.0
141,274628,04-09-1970,M,5.0
142,273776,06-09-1970,F,2.0
143,274743,06-09-1970,M,4.0
144,270051,07-09-1970,M,8.0
145,274455,08-09-1970,F,10.0
